user_id,first_name,last_name,date_of_birth,email,phone,address,city,state,postal_code,country,signup_date
1,daniel,padilla,1988-03-23, AMBERBRANCH@THOMPSON.COM ,+1-127-911-8990x8859,4285 Turner Lakes Apt. 890 ,Michaeltown,Wyoming,32875,Czech Republic,2025-02-28
2,christopher,willis,1969-12-07, HALEKATHRYN@GRIFFIN.INFO ,615.292.8943x02144, 938 Howard Rapid ,Bellstad,Nebraska,47355,United States Virgin Islands,2024-06-28
3,james,phillips,1995-08-08, JAMESCALHOUN@YAHOO.COM ,001-297-671-1476x79369,6655 Mccarthy Cape Suite 514 ,Larsonfurt,New Mexico,40518,Luxembourg,2024-03-06
4,tanya,harris,1982-11-09, LUNADIANA@CLARK.COM ,271-022-0416x746,4650 Travis Trail ,Alexisfurt,Idaho,64770,Mexico,2021-10-18
5,martin,nelson,1950-05-24, FWHITE@HOTMAIL.COM ,992-101-6524x05124,24897 Glover Junctions Apt. 890 ,Julieberg,Rhode Island,35721,Lao People's Democratic Republic,2020-01-08
6,jeffrey,marshall,1950-09-17, MOOREPATRICIA@EDWARDS.ORG ,001-944-025-3083x554,593 Fields Meadow Suite 852 ,Romeroville,New Jersey,80708,Israel,2024-03-21
7,robert,johnson,1993-01-11, PMARTIN@HOTMAIL.COM ,793.294.9508,361 Anderson Station Suite 929 ,Johnborough,Utah,65053,Tunisia,2020-10-17
8,terry,moran,1966-02-21, LWILCOX@HOTMAIL.COM ,(604)642-9724x8837,8770 Jennifer Loaf Suite 643 ,West Aaron,Washington,42540,Greenland,2023-03-28
9,robert,giles,1986-11-16, ERIKHOOD@YAHOO.COM ,(244)066-0043x83902,01741 Smith Squares ,Port Derrick,Wyoming,91348,Norway,2025-07-04
10,joseph,huynh,2001-08-11, SANDRA80@GROSS.ORG ,+1-425-247-3854x7597,85306 Marshall River ,East Michelle,Tennessee,26660,Yemen,2024-04-05
11,brian,burgess,1983-04-03, PKING@SMITH.COM ,693.873.3590x613,47183 Laura Cape Suite 898 ,Burnston,Mississippi,08361,Tokelau,2020-06-22
12,alexander,ortiz,1952-12-17, BENJAMIN78@HOTMAIL.COM ,254-675-9672,5007 Doyle Estates ,Lake Ericburgh,Kansas,98232,Djibouti,2023-09-05
13,caleb,fuller,1995-01-13, MICHAELHERNANDEZ@HOTMAIL.COM ,835.789.1699x1520,23036 Stacey Mountains ,East Adam,North Carolina,97061,Egypt,2023-10-24
